,orig_index,datetime_obj,piezo_charge_decrease,piezo_charge_decrease_offset,piezo_charge_avg,piezo_temperature,air_humidity_100,air_temperature_100,atm_pressure_main,num_of_resets,chuva,precipitation_prediction
43,43,2020-10-02 23:00:00+00:00,90,-4.333138606052813,39347.0,30.0,30.0,30.85,9399.0,0,0.0,0.0
44,44,2020-10-03 00:00:00+00:00,85,-0.2432793362970216,39259.5,27.5,32.0,29.807000000000002,9405.5,0,0.0,0.0
45,45,2020-10-03 01:00:00+00:00,80,-0.2153841206416729,39177.0,26.0,38.5,27.433,9410.0,0,0.0,0.0
46,46,2020-10-03 02:00:00+00:00,73,-0.9697854638117747,39100.5,24.0,48.5,24.58,9413.0,0,0.0,0.0
47,47,2020-10-03 03:00:00+00:00,70,0.3931664701383397,39029.0,22.5,49.5,24.453000000000003,9413.5,0,0.0,0.0
48,48,2020-10-03 04:00:00+00:00,69,0.7895286353885211,38959.5,22.0,54.0,23.502000000000002,9412.5,0,0.0,0.0
49,49,2020-10-03 05:00:00+00:00,64,-2.8421212090688073,38893.0,21.5,60.5,22.022,9412.0,0,0.0,0.0
50,50,2020-10-03 06:00:00+00:00,64,-1.5012211225655392,38829.0,21.0,63.0,21.619,9410.5,0,0.0,0.0
51,51,2020-10-03 07:00:00+00:00,62,-2.187220437359912,38766.0,20.5,68.0,20.683999999999997,9410.0,0,0.0,0.0
52,52,2020-10-03 08:00:00+00:00,63,0.10042046750686495,38703.5,20.0,63.5,21.457,9413.0,0,0.0,0.0
53,53,2020-10-03 09:00:00+00:00,62,-0.899579532493135,38641.0,20.0,62.5,21.561999999999998,9419.5,0,0.0,0.0
54,54,2020-10-03 10:00:00+00:00,60,-1.6377696121836038,38580.0,19.5,65.5,21.439999999999998,9426.0,0,0.0,0.0
55,55,2020-10-03 11:00:00+00:00,71,5.498778877434461,38514.5,21.0,55.5,25.500999999999998,9432.0,0,0.0,0.0
56,56,2020-10-03 12:00:00+00:00,98,14.466760958180558,38430.0,27.0,38.0,31.072,9437.0,0,0.0,0.0
57,57,2020-10-03 13:00:00+00:00,120,11.289855250433135,38321.0,33.5,27.0,35.44,9437.5,0,0.0,0.0
58,58,2020-10-03 14:00:00+00:00,142,6.143890957124256,38190.0,39.0,23.5,38.911,9434.5,0,0.0,0.0
59,59,2020-10-03 15:00:00+00:00,152,-7.766524904326616,38043.0,43.0,21.5,40.558,9429.0,0,0.0,0.0
60,60,2020-10-03 16:00:00+00:00,159,-10.780680605185978,37887.5,44.5,19.0,41.182,9421.5,0,0.0,0.0
61,61,2020-10-03 17:00:00+00:00,153,-16.780680605185978,37731.5,44.5,15.5,42.103,9411.0,0,0.0,0.0
62,62,2020-10-03 18:00:00+00:00,156,-13.780680605185978,37577.0,44.5,13.5,42.578,9401.5,0,0.0,0.0
63,63,2020-10-03 19:00:00+00:00,147,-16.037165411373962,37425.5,43.5,14.0,41.748999999999995,9394.0,0,0.0,0.0
64,64,2020-10-03 20:00:00+00:00,139,-11.343033076668831,37282.5,41.5,16.0,39.826,9389.5,0,0.0,0.0
65,65,2020-10-03 21:00:00+00:00,125,-13.637270450946403,37150.5,39.5,20.0,37.058,9391.0,0,0.0,0.0
66,66,2020-10-03 22:00:00+00:00,102,-11.206595058859648,37037.0,34.5,27.0,32.744,9398.0,0,0.0,0.0
67,67,2020-10-03 23:00:00+00:00,89,-3.440749324729211,36941.5,29.5,31.0,29.970999999999997,9406.0,0,0.0,0.0
68,68,2020-10-04 00:00:00+00:00,90,3.0116734924147437,36852.0,28.0,44.5,28.823,9417.5,0,0.0,0.0
69,69,2020-10-04 01:00:00+00:00,85,1.4667609581805579,36764.5,27.0,58.5,26.951999999999998,9430.0,0,0.0,0.0
70,70,2020-10-04 02:00:00+00:00,78,0.970688992428876,36683.0,25.0,61.5,24.807000000000002,9440.0,0,0.0,0.0
71,71,2020-10-04 03:00:00+00:00,68,-1.6068335298616603,36610.0,22.5,65.0,22.759,9445.5,0,0.0,0.0
72,72,2020-10-04 04:00:00+00:00,65,0.8127795626400882,36543.5,20.5,68.0,21.398,9444.0,0,0.0,0.0
73,73,2020-10-04 05:00:00+00:00,61,-0.6377696121836038,36480.5,19.5,71.0,20.521,9442.5,0,0.0,0.0
74,74,2020-10-04 06:00:00+00:00,58,-1.1895803693862206,36421.0,18.5,73.0,19.897,9440.5,0,0.0,0.0
75,75,2020-10-04 07:00:00+00:00,57,-1.0021956484681525,36363.5,18.0,74.5,19.394,9439.5,0,0.0,0.0
76,76,2020-10-04 08:00:00+00:00,55,-1.8386307023596657,36307.5,17.5,76.0,18.835,9441.0,0,0.0,0.0
77,77,2020-10-04 09:00:00+00:00,54,-1.6984076895809963,36253.0,17.0,77.0,18.397,9445.5,0,0.0,0.0
78,78,2020-10-04 10:00:00+00:00,54,-1.6984076895809963,36199.0,17.0,74.5,18.872,9451.0,0,0.0,0.0
79,79,2020-10-04 11:00:00+00:00,63,3.8104196306137794,36140.5,18.5,68.0,20.506,9456.5,0,0.0,0.0
80,80,2020-10-04 12:00:00+00:00,74,5.789528635388521,36072.0,22.0,59.0,23.174999999999997,9460.5,0,0.0,0.0
81,81,2020-10-04 13:00:00+00:00,90,9.784615879358327,35990.0,26.0,51.5,25.796999999999997,9459.0,0,0.0,0.0
82,82,2020-10-04 14:00:00+00:00,105,8.735732301249953,35892.5,30.5,46.0,28.121,9456.5,0,0.0,0.0
83,83,2020-10-04 15:00:00+00:00,118,4.793404941140352,35781.0,34.5,40.5,30.863999999999997,9452.5,0,0.0,0.0
84,84,2020-10-04 16:00:00+00:00,129,1.1570772867985966,35657.5,37.5,37.0,32.786,9444.0,0,0.0,0.0
85,85,2020-10-04 17:00:00+00:00,136,-2.637270450946403,35525.0,39.5,35.0,34.034,9435.0,0,0.0,0.0
86,86,2020-10-04 18:00:00+00:00,136,-5.475366058238933,35389.0,40.0,33.5,35.07,9426.5,0,0.0,0.0
87,87,2020-10-04 19:00:00+00:00,134,-7.475366058238933,35254.0,40.0,33.0,35.432,9419.5,0,0.0,0.0
88,88,2020-10-04 20:00:00+00:00,126,-9.856109042875744,35124.0,39.0,34.0,35.105000000000004,9416.5,0,0.0,0.0
89,89,2020-10-04 21:00:00+00:00,112,-8.302377294609059,35005.0,36.0,39.0,33.054,9417.0,0,0.0,0.0
90,90,2020-10-04 22:00:00+00:00,91,-9.245933782122748,34903.5,31.5,48.0,29.815,9419.0,0,0.0,0.0
91,91,2020-10-04 23:00:00+00:00,82,-3.2432793362970216,34817.0,27.5,56.5,27.301000000000002,9423.0,0,0.0,0.0
92,92,2020-10-05 00:00:00+00:00,75,-2.029311007571124,34738.5,25.0,61.5,25.634999999999998,9427.5,0,0.0,0.0
93,93,2020-10-05 01:00:00+00:00,71,-1.4858994061444122,34665.5,23.5,64.5,24.289,9431.5,0,0.0,0.0
94,94,2020-10-05 02:00:00+00:00,68,-1.6068335298616603,34596.0,22.5,67.5,23.134999999999998,9434.5,0,0.0,0.0
95,95,2020-10-05 03:00:00+00:00,64,-1.5012211225655392,34530.0,21.0,70.5,22.057000000000002,9433.5,0,0.0,0.0
96,96,2020-10-05 04:00:00+00:00,62,0.36223038781639616,34467.0,19.5,73.0,21.095,9431.0,0,0.0,0.0
97,97,2020-10-05 05:00:00+00:00,59,-1.4012724886657466,34406.5,19.0,74.5,20.353,9430.0,0,0.0,0.0
98,98,2020-10-05 06:00:00+00:00,57,-2.1895803693862206,34348.5,18.5,76.0,19.778,9429.0,0,0.0,0.0
99,99,2020-10-05 07:00:00+00:00,57,-1.0021956484681525,34291.5,18.0,77.0,19.374,9428.0,0,0.0,0.0
100,100,2020-10-05 08:00:00+00:00,55,-1.8386307023596657,34235.5,17.5,78.5,18.985999999999997,9428.5,0,0.0,0.0
101,101,2020-10-05 09:00:00+00:00,54,-1.6984076895809963,34181.0,17.0,79.0,18.759999999999998,9432.5,0,0.0,0.0
102,102,2020-10-05 10:00:00+00:00,54,-1.6984076895809963,34127.0,17.0,77.0,19.381999999999998,9439.0,0,0.0,0.0
103,103,2020-10-05 11:00:00+00:00,64,4.810419630613779,34068.0,18.5,68.0,21.944,9445.5,0,0.0,0.0
104,104,2020-10-05 12:00:00+00:00,80,10.39316647013834,33996.0,22.5,57.0,25.067999999999998,9450.5,0,0.0,0.0
105,105,2020-10-05 13:00:00+00:00,99,12.011673492414744,33906.5,28.0,50.0,28.023,9451.0,0,0.0,0.0
106,106,2020-10-05 14:00:00+00:00,120,9.06440906790003,33797.0,34.0,42.0,31.906,9448.0,0,0.0,0.0
107,107,2020-10-05 15:00:00+00:00,136,2.869260306157912,33669.0,38.5,36.0,34.914,9442.5,0,0.0,0.0
108,108,2020-10-05 16:00:00+00:00,141,-3.3715613861182874,33530.5,40.5,32.0,36.774,9435.0,0,0.0,0.0
109,109,2020-10-05 17:00:00+00:00,145,-5.343033076668831,33387.5,41.5,29.5,37.902,9426.0,0,0.0,0.0
110,110,2020-10-05 18:00:00+00:00,144,-9.420761744970207,33243.0,42.0,27.5,38.911,9416.5,0,0.0,0.0
111,111,2020-10-05 19:00:00+00:00,138,-9.327045815775193,33102.0,41.0,27.0,38.507000000000005,9410.0,0,0.0,0.0
112,112,2020-10-05 20:00:00+00:00,127,-8.856109042875744,32969.5,39.0,29.0,37.08,9407.0,0,0.0,0.0
113,113,2020-10-05 21:00:00+00:00,114,-8.765132421250755,32849.0,36.5,34.5,34.715,9407.0,0,0.0,0.0
114,114,2020-10-05 22:00:00+00:00,92,-10.298105924509485,32746.0,32.0,43.0,30.189999999999998,9410.5,0,0.0,0.0
115,115,2020-10-05 23:00:00+00:00,79,-4.533239041819442,32660.5,27.0,50.5,27.122,9415.0,0,0.0,0.0
116,116,2020-10-06 00:00:00+00:00,76,0.5159512899892462,32583.0,24.5,57.5,25.840000000000003,9418.5,0,0.0,0.0
117,117,2020-10-06 01:00:00+00:00,72,-0.4858994061444122,32509.0,23.5,63.0,24.708,9420.5,0,0.0,0.0
118,118,2020-10-06 02:00:00+00:00,69,-0.6068335298616603,32438.5,22.5,67.0,23.601,9421.5,0,0.0,0.0
119,119,2020-10-06 03:00:00+00:00,67,0.15787879093119273,32370.5,21.5,68.5,23.076,9419.5,0,0.0,0.0
120,120,2020-10-06 04:00:00+00:00,65,-0.5012211225655392,32304.5,21.0,68.0,23.027,9415.5,0,0.0,0.0
121,121,2020-10-06 05:00:00+00:00,65,-0.5012211225655392,32239.5,21.0,70.0,22.445999999999998,9413.0,0,0.0,0.0
122,122,2020-10-06 06:00:00+00:00,61,-1.899579532493135,32176.5,20.0,75.0,21.307000000000002,9409.5,0,0.0,0.0
123,123,2020-10-06 07:00:00+00:00,60,-0.4012724886657466,32116.0,19.0,80.5,20.167,9408.0,0,0.0,0.0
124,124,2020-10-06 08:00:00+00:00,56,-2.0021956484681525,32058.0,18.0,84.0,19.494,9411.5,0,0.0,0.0
125,125,2020-10-06 09:00:00+00:00,55,-0.6984076895809963,32002.5,17.0,84.0,19.642000000000003,9418.0,0,0.0,0.0
126,126,2020-10-06 10:00:00+00:00,58,1.1613692976403343,31946.0,17.5,81.5,20.689,9423.5,0,0.0,0.0
127,127,2020-10-06 11:00:00+00:00,71,8.100420467506865,31881.5,20.0,70.5,24.231,9428.0,0,0.0,0.0
128,128,2020-10-06 12:00:00+00:00,96,14.142496638481987,31798.0,26.5,52.0,29.823,9433.5,0,0.0,0.0
129,129,2020-10-06 13:00:00+00:00,119,8.06440906790003,31690.5,34.0,39.5,34.432,9437.0,0,0.0,0.0
130,130,2020-10-06 14:00:00+00:00,141,5.143890957124256,31560.5,39.0,33.0,37.001999999999995,9436.5,0,0.0,0.0
131,131,2020-10-06 15:00:00+00:00,153,-3.561495752207634,31413.5,42.5,28.5,38.55,9431.0,0,0.0,0.0
132,132,2020-10-06 16:00:00+00:00,164,-9.256324652860627,31255.0,45.0,24.0,40.657,9422.0,0,0.0,0.0
133,133,2020-10-06 17:00:00+00:00,165,-19.116020150846623,31090.5,46.5,20.5,42.31,9412.5,0,0.0,0.0
134,134,2020-10-06 18:00:00+00:00,165,-19.116020150846623,30925.5,46.5,19.5,42.153999999999996,9403.0,0,0.0,0.0
135,135,2020-10-06 19:00:00+00:00,152,-17.780680605185978,30767.0,44.5,19.5,41.012,9395.5,0,0.0,0.0
136,136,2020-10-06 20:00:00+00:00,145,-11.561495752207634,30618.5,42.5,19.5,40.38,9392.5,0,0.0,0.0
137,137,2020-10-06 21:00:00+00:00,131,-13.371561386118287,30480.5,40.5,23.5,38.129000000000005,9392.5,0,0.0,0.0
138,138,2020-10-06 22:00:00+00:00,104,-13.889026772468583,30363.0,35.5,30.0,33.849000000000004,9395.0,0,0.0,0.0
139,139,2020-10-06 23:00:00+00:00,91,-3.333138606052813,30265.5,30.0,37.5,30.36,9400.5,0,0.0,0.0
140,140,2020-10-07 00:00:00+00:00,82,-1.5332390418194421,30179.0,27.0,46.5,28.256999999999998,9406.5,0,0.0,0.0
141,141,2020-10-07 01:00:00+00:00,77,-1.6062069497103693,30099.5,25.5,54.0,26.451,9410.5,0,0.0,0.0
142,142,2020-10-07 02:00:00+00:00,75,-0.4840487100107538,30023.5,24.5,56.5,25.465,9413.0,0,0.0,0.0
143,143,2020-10-07 03:00:00+00:00,72,-0.4858994061444122,29950.0,23.5,56.0,25.302,9413.5,0,0.0,0.0
144,144,2020-10-07 04:00:00+00:00,71,-0.03178114918551955,29878.5,23.0,53.5,25.557000000000002,9412.0,0,0.0,0.0
145,145,2020-10-07 05:00:00+00:00,72,0.9682188508144804,29807.0,23.0,54.0,25.119,9410.0,0,0.0,0.0
146,146,2020-10-07 06:00:00+00:00,74,2.9682188508144804,29734.0,23.0,59.0,24.106,9407.5,0,0.0,0.0
147,147,2020-10-07 07:00:00+00:00,71,-0.03178114918551955,29661.5,23.0,59.5,24.239,9406.5,0,0.0,0.0
148,148,2020-10-07 08:00:00+00:00,71,-0.03178114918551955,29590.5,23.0,58.0,24.551000000000002,9408.0,0,0.0,0.0
149,149,2020-10-07 09:00:00+00:00,70,0.3931664701383397,29520.0,22.5,61.5,23.688000000000002,9414.0,0,0.0,0.0
150,150,2020-10-07 10:00:00+00:00,83,16.157878790931193,29443.5,21.5,73.0,22.497,9425.5,0,0.2,0.0
151,151,2020-10-07 11:00:00+00:00,68,1.1578787909311927,29368.0,21.5,72.0,24.055,9431.0,0,0.0,0.0
152,152,2020-10-07 12:00:00+00:00,79,6.514100593855588,29294.5,23.5,60.0,26.867,9431.5,0,0.0,0.0
153,153,2020-10-07 13:00:00+00:00,93,9.466760958180558,29208.5,27.0,46.0,30.950000000000003,9435.5,0,0.0,0.0
154,154,2020-10-07 14:00:00+00:00,127,18.289855250433135,29098.5,33.5,32.5,35.335,9438.5,0,0.0,0.0
155,155,2020-10-07 15:00:00+00:00,145,0.6284386138817126,28962.5,40.5,25.5,38.216,9437.0,0,0.0,0.0
156,156,2020-10-07 16:00:00+00:00,161,-8.780680605185978,28809.5,44.5,21.5,40.402,9429.5,0,0.0,0.0
157,157,2020-10-07 17:00:00+00:00,163,-17.42252295355223,28647.5,46.0,20.5,41.629000000000005,9419.0,0,0.0,0.0
158,158,2020-10-07 18:00:00+00:00,158,-18.803119914578474,28487.0,45.5,21.0,41.260000000000005,9409.5,0,0.0,0.0
159,159,2020-10-07 19:00:00+00:00,148,-18.374760428026946,28334.0,44.0,22.5,40.515,9401.5,0,0.0,0.0
160,160,2020-10-07 20:00:00+00:00,139,-14.420761744970207,28190.5,42.0,23.5,39.519999999999996,9397.5,0,0.0,0.0
161,161,2020-10-07 21:00:00+00:00,123,-12.856109042875744,28059.5,39.0,27.0,36.789,9399.0,0,0.0,0.0
162,162,2020-10-07 22:00:00+00:00,102,-8.93559093209997,27947.0,34.0,35.5,32.482,9403.5,0,0.0,0.0
163,163,2020-10-07 23:00:00+00:00,87,-5.440749324729211,27852.5,29.5,40.5,29.963,9409.5,0,0.0,0.0
164,164,2020-10-08 00:00:00+00:00,88,1.0116734924147437,27765.0,28.0,43.0,29.219,9417.0,0,0.0,0.0
165,165,2020-10-08 01:00:00+00:00,81,-2.533239041819442,27680.5,27.0,51.0,27.292,9432.5,0,0.0,0.0
166,166,2020-10-08 02:00:00+00:00,94,16.970688992428876,27593.0,25.0,68.5,24.537,9455.5,0,0.0,0.0
167,167,2020-10-08 03:00:00+00:00,74,2.9682188508144804,27509.0,23.0,82.5,22.404,9456.5,0,0.0,0.0
168,168,2020-10-08 04:00:00+00:00,65,-1.8421212090688073,27439.5,21.5,84.5,21.54,9444.0,0,0.0,0.0
169,169,2020-10-08 05:00:00+00:00,60,-2.899579532493135,27377.0,20.0,85.0,20.862000000000002,9441.5,0,0.0,0.0
170,170,2020-10-08 06:00:00+00:00,60,-0.4012724886657466,27317.0,19.0,85.5,20.592,9437.0,0,0.0,0.0
171,171,2020-10-08 07:00:00+00:00,59,-1.4012724886657466,27257.5,19.0,84.5,20.633,9429.0,0,0.0,0.0
172,172,2020-10-08 08:00:00+00:00,60,-0.4012724886657466,27198.0,19.0,83.5,20.576999999999998,9424.0,0,0.0,0.0
173,173,2020-10-08 09:00:00+00:00,58,-1.1895803693862206,27139.0,18.5,86.0,20.095,9422.0,0,0.0,0.0
174,174,2020-10-08 10:00:00+00:00,57,-1.0021956484681525,27081.5,18.0,85.0,20.569,9423.5,0,0.0,0.0
175,175,2020-10-08 11:00:00+00:00,69,6.100420467506865,27018.5,20.0,72.0,23.552,9427.5,0,0.0,0.0
176,176,2020-10-08 12:00:00+00:00,87,9.970688992428876,26940.5,25.0,55.0,27.753999999999998,9430.5,0,0.0,0.0
177,177,2020-10-08 13:00:00+00:00,104,9.666861393947187,26845.0,30.0,45.5,30.424999999999997,9431.0,0,0.0,0.0
178,178,2020-10-08 14:00:00+00:00,112,5.470657413227045,26737.0,33.0,39.5,33.112,9433.5,0,0.0,0.0
179,179,2020-10-08 15:00:00+00:00,137,9.157077286798597,26612.5,37.5,32.5,36.902,9433.0,0,0.0,0.0
180,180,2020-10-08 16:00:00+00:00,135,-9.371561386118287,26476.5,40.5,32.0,36.967,9426.5,0,0.0,0.0
181,181,2020-10-08 17:00:00+00:00,125,-10.856109042875744,26346.5,39.0,37.5,34.645,9419.0,0,0.0,0.0
182,182,2020-10-08 18:00:00+00:00,122,-5.842922713201403,26223.0,37.5,41.5,33.062,9409.0,0,0.0,0.0
183,183,2020-10-08 19:00:00+00:00,110,-7.889026772468583,26107.0,35.5,46.0,31.601,9402.5,0,0.0,0.0
184,184,2020-10-08 20:00:00+00:00,102,-2.3922888532005544,26001.0,32.5,51.5,30.304000000000002,9401.5,0,0.0,0.0
185,185,2020-10-08 21:00:00+00:00,92,-0.4407493247292109,25904.0,29.5,55.5,28.879,9403.5,0,0.0,0.0
186,186,2020-10-08 22:00:00+00:00,81,-2.533239041819442,25817.5,27.0,58.5,27.228,9406.5,0,0.0,0.0
187,187,2020-10-08 23:00:00+00:00,76,-1.029311007571124,25739.0,25.0,60.5,25.875,9410.0,0,0.0,0.0
188,188,2020-10-09 00:00:00+00:00,73,-0.9697854638117747,25664.5,24.0,63.0,25.11,9414.5,0,0.0,0.0
189,189,2020-10-09 01:00:00+00:00,71,-1.4858994061444122,25592.5,23.5,66.5,24.253999999999998,9417.5,0,0.0,0.0
190,190,2020-10-09 02:00:00+00:00,69,-0.6068335298616603,25522.5,22.5,70.0,23.455,9419.0,0,0.0,0.0
191,191,2020-10-09 03:00:00+00:00,67,0.15787879093119273,25454.5,21.5,73.0,22.802,9418.5,0,0.0,0.0
192,192,2020-10-09 04:00:00+00:00,66,0.4987788774344608,25388.0,21.0,74.0,22.44,9415.0,0,0.0,0.0
193,193,2020-10-09 05:00:00+00:00,65,-0.5012211225655392,25322.5,21.0,75.0,22.045,9411.0,0,0.0,0.0
194,194,2020-10-09 06:00:00+00:00,63,-1.1872204373599118,25258.5,20.5,76.5,21.647,9405.5,0,0.0,0.0
195,195,2020-10-09 07:00:00+00:00,62,-0.899579532493135,25196.0,20.0,78.0,21.298000000000002,9398.0,0,0.0,0.0
196,196,2020-10-09 08:00:00+00:00,61,-1.899579532493135,25134.5,20.0,79.5,21.065,9392.5,0,0.0,0.0
197,197,2020-10-09 09:00:00+00:00,61,-1.899579532493135,25073.5,20.0,81.0,21.03,9389.0,0,0.0,0.0
198,198,2020-10-09 10:00:00+00:00,68,5.100420467506865,25009.0,20.0,85.5,20.797,9390.5,0,0.0,0.0
199,199,2020-10-09 11:00:00+00:00,140,78.3622303878164,24905.0,19.5,91.0,20.287,9405.5,0,1.2,0.5
200,200,2020-10-09 12:00:00+00:00,158,97.59872751133426,24756.0,19.0,91.0,20.874000000000002,9412.5,0,2.2,1.01
201,201,2020-10-09 13:00:00+00:00,70,5.812779562640088,24642.0,20.5,88.5,21.886,9412.5,0,0.0,0.0
202,202,2020-10-09 14:00:00+00:00,83,9.030214536188225,24565.5,24.0,78.5,23.997,9416.5,0,0.2,0.0
203,203,2020-10-09 15:00:00+00:00,102,11.41367729315516,24473.0,29.0,65.0,27.095,9414.0,0,0.0,0.0
204,204,2020-10-09 16:00:00+00:00,108,3.6077111467994456,24368.0,32.5,58.0,28.867,9408.0,0,0.0,0.0
205,205,2020-10-09 17:00:00+00:00,114,3.06440906790003,24257.0,34.0,54.5,29.935000000000002,9404.0,0,0.0,0.0
206,206,2020-10-09 18:00:00+00:00,102,-4.529342586772955,24149.0,33.0,57.0,28.686999999999998,9404.0,0,0.0,0.0
207,207,2020-10-09 19:00:00+00:00,89,-3.440749324729211,24053.5,29.5,58.5,26.216,9405.0,0,0.0,0.0
208,208,2020-10-09 20:00:00+00:00,79,-2.857503361518013,23969.5,26.5,57.5,24.891,9412.0,0,0.0,0.0
209,209,2020-10-09 21:00:00+00:00,76,0.5159512899892462,23892.0,24.5,58.0,23.65,9421.5,0,0.0,0.0
210,210,2020-10-09 22:00:00+00:00,67,-2.6068335298616603,23820.5,22.5,61.0,22.219,9426.5,0,0.0,0.0
211,211,2020-10-09 23:00:00+00:00,60,-2.899579532493135,23757.0,20.0,67.0,21.036,9431.5,0,0.0,0.0
212,212,2020-10-10 00:00:00+00:00,59,-0.18958036938622058,23697.5,18.5,72.5,19.819000000000003,9436.5,0,0.0,0.0
